,Municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Santorcaz,1/1/2024,48.9,°F,39.6,°F,34.2,°F,38.1,°F,31.6,°F,19.9,°F,97,%,75,%,33,%,8.5,mph,0.9,mph,0.0,mph,30.04,in,29.92,in,0.00,in
1,Santorcaz,1/2/2024,41.0,°F,35.3,°F,32.0,°F,40.6,°F,34.7,°F,30.7,°F,99,%,98,%,93,%,4.9,mph,0.4,mph,0.0,mph,30.04,in,29.94,in,0.06,in
2,Santorcaz,1/3/2024,52.0,°F,45.4,°F,40.6,°F,49.6,°F,44.0,°F,38.3,°F,99,%,95,%,82,%,9.6,mph,0.7,mph,0.0,mph,29.99,in,29.91,in,0.24,in
3,Santorcaz,1/4/2024,45.7,°F,40.6,°F,34.2,°F,43.2,°F,39.2,°F,33.6,°F,99,%,95,%,82,%,6.0,mph,0.3,mph,0.0,mph,29.98,in,29.68,in,0.05,in
4,Santorcaz,1/5/2024,41.5,°F,36.5,°F,34.2,°F,38.5,°F,33.5,°F,31.3,°F,98,%,89,%,76,%,14.3,mph,2.7,mph,0.0,mph,29.79,in,29.61,in,0.29,in
5,Santorcaz,1/6/2024,38.5,°F,34.6,°F,31.3,°F,32.5,°F,30.8,°F,28.2,°F,96,%,87,%,77,%,13.9,mph,3.8,mph,0.0,mph,29.98,in,29.78,in,0.04,in
6,Santorcaz,1/7/2024,37.0,°F,33.9,°F,30.4,°F,30.9,°F,29.1,°F,27.1,°F,92,%,82,%,70,%,12.1,mph,1.6,mph,0.0,mph,30.03,in,29.96,in,0.00,in
7,Santorcaz,1/8/2024,42.8,°F,34.9,°F,30.2,°F,30.2,°F,26.9,°F,20.5,°F,87,%,74,%,43,%,11.6,mph,2.5,mph,0.0,mph,29.99,in,29.89,in,0.00,in
8,Santorcaz,1/9/2024,38.5,°F,34.8,°F,32.4,°F,35.1,°F,32.3,°F,27.9,°F,98,%,91,%,82,%,5.1,mph,0.4,mph,0.0,mph,29.94,in,29.88,in,0.00,in
9,Santorcaz,1/10/2024,41.0,°F,35.9,°F,32.2,°F,38.8,°F,35.2,°F,31.8,°F,99,%,98,%,84,%,6.5,mph,0.3,mph,0.0,mph,29.92,in,29.86,in,0.39,in
10,Santorcaz,1/11/2024,37.0,°F,33.3,°F,26.2,°F,34.3,°F,28.3,°F,22.5,°F,99,%,82,%,64,%,11.4,mph,3.0,mph,0.0,mph,30.04,in,29.89,in,0.08,in
