,Municipio,Date,Temperature High (Fº),Temperature Avg (Fº),Temperature Low (Fº),Dew Point High (Fº),Dew Point Avg (Fº),Dew Point Low (Fº),Humidity High (%),Humidity Avg (%),Humidity Low (%),Speed High (mph),Speed Avg (mph),Speed Low (mph),Pressure High (in),Pressure Low (in),Precipitation Accumulation Sum (in)
0,Santorcaz,2024-01-01,48.9,39.6,34.2,38.1,31.6,19.9,97,75,33,8.5,0.9,0.0,30.04,29.92,0.0
1,Santorcaz,2024-01-02,41.0,35.3,32.0,40.6,34.7,30.7,99,98,93,4.9,0.4,0.0,30.04,29.94,0.06
2,Santorcaz,2024-01-03,52.0,45.4,40.6,49.6,44.0,38.3,99,95,82,9.6,0.7,0.0,29.99,29.91,0.24
3,Santorcaz,2024-01-04,45.7,40.6,34.2,43.2,39.2,33.6,99,95,82,6.0,0.3,0.0,29.98,29.68,0.05
4,Santorcaz,2024-01-05,41.5,36.5,34.2,38.5,33.5,31.3,98,89,76,14.3,2.7,0.0,29.79,29.61,0.29
5,Santorcaz,2024-01-06,38.5,34.6,31.3,32.5,30.8,28.2,96,87,77,13.9,3.8,0.0,29.98,29.78,0.04
6,Santorcaz,2024-01-07,37.0,33.9,30.4,30.9,29.1,27.1,92,82,70,12.1,1.6,0.0,30.03,29.96,0.0
7,Santorcaz,2024-01-08,42.8,34.9,30.2,30.2,26.9,20.5,87,74,43,11.6,2.5,0.0,29.99,29.89,0.0
8,Santorcaz,2024-01-09,38.5,34.8,32.4,35.1,32.3,27.9,98,91,82,5.1,0.4,0.0,29.94,29.88,0.0
9,Santorcaz,2024-01-10,41.0,35.9,32.2,38.8,35.2,31.8,99,98,84,6.5,0.3,0.0,29.92,29.86,0.39
10,Santorcaz,2024-01-11,37.0,33.3,26.2,34.3,28.3,22.5,99,82,64,11.4,3.0,0.0,30.04,29.89,0.08
11,Santorcaz,2024-01-12,40.3,30.1,21.0,28.0,24.1,19.0,94,79,45,4.9,0.3,0.0,30.12,30.02,0.0
12,Santorcaz,2024-01-13,47.7,36.8,27.1,37.4,32.0,25.0,93,84,58,4.0,0.3,0.0,30.13,30.02,0.0
13,Santorcaz,2024-01-14,48.2,42.9,35.6,45.0,40.4,34.2,99,91,75,8.1,0.7,0.0,30.04,29.89,0.06
14,Santorcaz,2024-01-15,55.0,47.6,42.3,52.5,47.0,41.9,99,98,88,7.4,0.5,0.0,29.9,29.79,0.67
15,Santorcaz,2024-01-16,50.9,48.6,45.0,50.0,47.9,44.2,99,98,86,15.4,1.7,0.0,29.85,29.68,0.13
16,Santorcaz,2024-01-17,49.1,45.8,39.6,46.4,43.7,36.7,99,93,68,14.8,3.5,0.0,29.7,29.47,0.65
17,Santorcaz,2024-01-18,58.3,47.5,41.9,47.8,41.0,36.0,99,80,49,18.8,2.0,0.0,29.75,29.61,0.0
18,Santorcaz,2024-01-19,43.7,38.8,33.4,42.1,37.5,31.3,99,95,83,13.2,1.1,0.0,29.79,29.56,0.77
19,Santorcaz,2024-01-20,47.7,38.2,29.7,36.1,31.1,19.4,97,78,33,14.5,1.9,0.0,30.23,29.78,0.0
20,Santorcaz,2024-01-21,50.7,37.9,27.3,40.1,33.4,27.0,99,86,45,5.8,0.5,0.0,30.36,30.22,0.0
21,Santorcaz,2024-01-22,57.7,46.4,33.8,47.8,42.3,33.1,99,86,58,11.2,1.2,0.0,30.44,30.32,0.0
22,Santorcaz,2024-01-23,64.8,52.4,43.9,51.1,45.9,42.4,96,80,47,8.1,1.1,0.0,30.5,30.41,0.0
23,Santorcaz,2024-01-24,66.7,52.9,41.5,48.4,41.0,34.0,96,66,35,4.5,0.4,0.0,30.51,30.44,0.0
24,Santorcaz,2024-01-25,71.2,54.6,42.3,47.7,38.7,32.2,75,56,30,3.8,0.4,0.0,30.46,30.33,0.0
25,Santorcaz,2024-01-26,68.2,55.2,45.3,46.0,36.2,32.0,72,50,29,4.9,0.4,0.0,30.38,30.3,0.0
26,Santorcaz,2024-01-27,66.4,53.2,43.7,43.9,35.8,29.7,71,53,27,3.8,0.2,0.0,30.32,30.22,0.0
27,Santorcaz,2024-01-28,59.4,48.8,38.5,44.8,39.7,35.4,90,72,52,6.5,0.5,0.0,30.25,30.18,0.0
28,Santorcaz,2024-01-29,57.0,47.3,40.1,44.8,40.5,37.0,91,78,58,4.3,0.3,0.0,30.27,30.19,0.0
29,Santorcaz,2024-01-30,58.8,45.2,36.3,45.7,40.2,35.6,98,84,50,5.6,0.4,0.0,30.34,30.25,0.0
30,Santorcaz,2024-01-31,59.4,44.9,34.2,46.8,36.8,27.7,98,76,41,10.3,0.9,0.0,30.39,30.31,0.01
31,Santorcaz,2024-02-01,61.7,49.3,37.8,39.4,34.4,29.5,78,58,34,12.1,2.2,0.0,30.42,30.33,0.0
32,Santorcaz,2024-02-02,58.3,49.4,40.6,43.3,33.8,22.6,87,56,36,7.6,1.1,0.0,30.35,30.26,0.0
33,Santorcaz,2024-02-03,58.6,45.7,34.3,41.9,35.0,28.2,95,69,34,5.8,0.5,0.0,30.33,30.28,0.0
34,Santorcaz,2024-02-04,62.6,47.7,35.2,37.6,29.1,1.6,76,51,9,6.7,0.7,0.0,30.33,30.26,0.0
35,Santorcaz,2024-02-05,58.3,47.0,36.7,38.8,33.4,26.8,78,60,31,5.8,0.4,0.0,30.3,30.18,0.0
36,Santorcaz,2024-02-06,57.7,47.5,39.2,42.1,35.9,29.5,79,65,47,8.5,0.8,0.0,30.19,30.09,0.0
37,Santorcaz,2024-02-07,52.3,42.5,36.1,42.8,36.3,30.2,98,80,54,9.0,0.7,0.0,30.13,29.98,0.0
38,Santorcaz,2024-02-08,44.1,40.9,37.6,42.6,39.8,37.2,99,96,82,15.4,3.2,0.0,29.98,29.5,0.22
39,Santorcaz,2024-02-09,45.5,42.4,39.0,45.1,42.1,38.7,99,99,97,11.2,2.3,0.0,29.51,29.11,0.93
40,Santorcaz,2024-02-10,42.1,37.5,33.6,39.2,34.2,28.8,99,88,78,14.1,3.2,0.0,29.59,29.15,0.61
41,Santorcaz,2024-02-11,42.6,37.0,33.4,37.2,32.6,28.0,99,84,69,12.3,2.5,0.0,29.73,29.59,0.04
42,Santorcaz,2024-02-12,55.9,46.3,35.8,44.6,40.3,35.4,99,81,56,15.9,2.7,0.0,30.01,29.64,0.3
43,Santorcaz,2024-02-13,51.6,48.2,45.5,49.8,45.6,38.1,99,91,71,5.1,0.5,0.0,30.16,29.98,0.1
44,Santorcaz,2024-02-14,58.1,48.6,42.1,52.9,47.1,41.7,99,95,80,3.4,0.3,0.0,30.17,30.04,0.01
45,Santorcaz,2024-02-15,57.6,49.2,45.3,51.8,47.4,40.8,99,94,74,16.3,2.4,0.0,30.05,29.87,0.16
46,Santorcaz,2024-02-16,51.4,45.2,41.0,43.3,39.7,35.6,96,82,58,14.1,2.6,0.0,30.2,29.92,0.01
47,Santorcaz,2024-02-17,55.9,45.8,37.6,39.6,32.5,20.1,84,62,27,13.7,3.3,0.0,30.36,30.19,0.0
48,Santorcaz,2024-02-18,61.0,48.8,36.3,41.7,33.0,20.8,78,56,31,11.6,2.6,0.0,30.4,30.34,0.0
49,Santorcaz,2024-02-19,59.5,51.1,41.7,44.8,40.3,31.5,83,68,43,16.1,3.7,0.0,30.39,30.28,0.0
50,Santorcaz,2024-02-20,65.7,51.0,38.8,35.1,26.8,9.7,75,42,13,12.3,1.6,0.0,30.32,30.22,0.0
51,Santorcaz,2024-02-21,61.7,49.3,38.1,39.6,24.6,5.5,73,39,17,7.6,0.6,0.0,30.25,30.05,0.0
52,Santorcaz,2024-02-22,57.4,45.7,36.3,49.1,39.8,31.3,99,81,47,18.1,2.0,0.0,30.06,29.67,0.22
53,Santorcaz,2024-02-23,44.4,36.8,32.9,35.4,30.6,27.3,92,79,61,12.8,3.6,0.0,29.75,29.64,0.07
54,Santorcaz,2024-02-24,44.4,37.0,32.4,34.0,30.6,27.9,89,78,60,12.8,2.5,0.0,29.86,29.63,0.07
55,Santorcaz,2024-02-25,55.0,46.7,37.2,44.6,40.5,33.1,95,80,61,14.8,3.1,0.0,29.85,29.55,0.3
56,Santorcaz,2024-02-26,45.0,38.7,33.3,37.6,34.0,28.8,93,84,61,19.0,4.3,0.0,29.73,29.51,0.27
57,Santorcaz,2024-02-27,40.6,34.6,30.9,32.0,28.2,25.9,86,78,66,30.0,10.8,0.2,29.99,29.7,0.02
58,Santorcaz,2024-02-28,46.8,38.7,32.7,38.3,32.5,26.6,87,79,68,27.7,7.7,0.0,30.07,29.91,0.0
59,Santorcaz,2024-02-29,52.9,41.8,32.4,41.4,34.3,25.7,89,75,58,15.4,2.7,0.0,30.03,29.82,0.06
60,Santorcaz,2024-03-01,48.7,38.5,28.4,37.0,30.1,22.8,83,72,56,17.5,2.5,0.0,29.95,29.76,0.03
61,Santorcaz,2024-03-02,42.8,37.3,30.9,39.7,34.6,29.7,98,90,74,15.0,2.4,0.0,29.77,29.36,0.17
62,Santorcaz,2024-03-03,42.1,34.2,28.2,34.7,30.5,25.3,97,87,69,8.5,2.6,0.0,29.84,29.51,0.15
63,Santorcaz,2024-03-04,53.6,41.6,36.5,43.5,37.3,30.2,99,86,57,7.6,1.0,0.0,29.98,29.83,0.1
64,Santorcaz,2024-03-05,51.1,40.9,33.3,35.4,31.9,29.5,86,71,45,9.8,1.5,0.0,30.08,29.97,0.0
65,Santorcaz,2024-03-06,51.4,40.0,27.9,39.4,32.2,25.3,92,75,54,11.9,1.5,0.0,30.06,29.85,0.0
66,Santorcaz,2024-03-07,47.1,39.6,34.5,40.3,35.3,30.6,99,85,70,19.2,4.3,0.0,29.86,29.54,0.37
67,Santorcaz,2024-03-08,48.4,36.4,31.6,38.5,33.5,30.7,99,91,54,17.5,3.8,0.0,29.57,29.39,0.46
68,Santorcaz,2024-03-09,46.6,36.9,32.0,38.1,33.8,26.6,99,90,48,16.8,3.0,0.0,29.39,29.21,0.17
69,Santorcaz,2024-03-10,47.7,38.6,32.2,41.0,35.6,31.5,99,89,73,11.6,2.6,0.0,29.71,29.3,0.2
70,Santorcaz,2024-03-11,47.5,40.6,36.0,37.0,34.1,31.3,92,78,57,11.6,2.4,0.0,30.04,29.7,0.0
71,Santorcaz,2024-03-12,57.7,46.0,33.8,42.6,36.4,31.1,91,70,47,8.5,1.1,0.0,30.06,29.99,0.0
72,Santorcaz,2024-03-13,59.4,47.7,36.7,43.7,36.9,32.9,89,68,46,10.1,1.4,0.0,30.01,29.88,0.0
73,Santorcaz,2024-03-14,58.5,48.0,37.9,48.4,40.2,33.4,85,75,56,15.4,2.0,0.0,30.02,29.89,0.0
74,Santorcaz,2024-03-15,57.9,49.8,39.9,49.5,43.7,36.1,91,80,65,9.6,0.8,0.0,30.13,29.99,0.01
75,Santorcaz,2024-03-16,61.2,51.0,37.8,52.0,44.7,36.0,95,80,43,11.6,1.3,0.0,30.18,30.1,0.0
76,Santorcaz,2024-03-17,62.8,52.8,40.8,53.8,47.8,40.5,99,84,59,7.6,0.8,0.0,30.14,30.03,0.0
77,Santorcaz,2024-03-18,68.2,55.5,44.8,55.6,49.0,43.9,97,80,55,11.2,1.1,0.0,30.06,29.95,0.0
78,Santorcaz,2024-03-19,67.6,56.3,43.9,54.0,46.8,39.7,95,72,52,14.1,1.4,0.0,29.98,29.87,0.0
79,Santorcaz,2024-03-20,64.8,55.7,46.2,50.5,44.3,40.5,90,66,45,13.4,1.7,0.0,29.97,29.85,0.05
80,Santorcaz,2024-03-21,70.5,59.3,48.2,50.4,44.4,40.5,82,59,34,15.0,1.7,0.0,30.11,29.95,0.0
81,Santorcaz,2024-03-22,73.4,60.4,47.5,49.1,42.4,31.1,84,54,23,8.3,0.8,0.0,30.11,29.98,0.0
82,Santorcaz,2024-03-23,70.3,58.8,48.2,52.5,43.9,36.3,79,58,41,7.6,0.7,0.0,30.04,29.94,0.0
83,Santorcaz,2024-03-24,67.6,56.1,45.7,52.3,44.6,38.7,91,67,36,9.6,0.9,0.0,29.98,29.66,0.0
84,Santorcaz,2024-03-25,51.3,47.0,40.3,48.9,42.8,35.8,99,86,64,7.6,0.9,0.0,29.67,29.26,0.25
85,Santorcaz,2024-03-26,46.4,37.2,31.3,35.8,29.7,23.7,99,76,46,8.1,1.2,0.0,29.3,29.23,0.01
86,Santorcaz,2024-03-27,57.6,43.7,34.0,46.0,37.0,30.0,98,79,48,12.3,2.3,0.0,29.37,29.25,0.3
87,Santorcaz,2024-03-28,53.6,45.0,38.8,46.8,39.7,29.8,97,82,57,21.3,5.0,0.0,29.49,29.33,0.13
88,Santorcaz,2024-03-29,46.8,40.3,34.0,45.0,39.1,32.0,99,96,82,13.2,2.6,0.0,29.41,29.31,0.64
89,Santorcaz,2024-03-30,44.2,38.0,33.3,40.8,36.9,32.9,99,96,77,12.3,2.9,0.0,29.41,29.23,0.6
90,Santorcaz,2024-03-31,45.7,37.0,32.2,40.6,34.8,31.8,99,92,66,10.7,1.4,0.0,29.53,29.23,0.32
91,Santorcaz,2024-04-01,53.4,39.4,32.5,40.8,34.6,31.8,99,85,48,7.4,0.9,0.0,29.92,29.53,0.02
92,Santorcaz,2024-04-02,48.4,40.3,32.4,43.2,36.5,30.2,99,87,71,11.2,1.4,0.0,29.96,29.88,0.01
93,Santorcaz,2024-04-03,57.9,49.0,41.7,48.7,42.8,38.3,89,79,65,12.3,2.1,0.0,30.04,29.9,0.0
94,Santorcaz,2024-04-04,61.5,49.8,36.9,50.5,42.9,36.0,97,78,57,12.3,1.4,0.0,30.04,29.94,0.0
95,Santorcaz,2024-04-05,64.6,54.9,43.9,50.0,44.2,38.7,92,69,44,12.5,1.6,0.0,29.99,29.89,0.0
96,Santorcaz,2024-04-06,65.3,57.9,48.6,46.8,42.2,36.9,76,57,41,13.7,1.7,0.0,29.96,29.84,0.0
97,Santorcaz,2024-04-07,66.2,56.7,48.6,54.0,46.1,40.8,83,68,53,14.8,1.5,0.0,29.96,29.83,0.0
98,Santorcaz,2024-04-08,57.6,49.2,37.8,47.8,42.3,34.5,91,78,57,13.2,2.4,0.0,29.98,29.77,0.11
99,Santorcaz,2024-04-09,52.2,42.0,33.3,36.9,32.2,27.0,88,69,48,13.2,2.6,0.0,30.27,29.97,0.0
100,Santorcaz,2024-04-10,61.2,48.4,34.5,45.3,37.2,28.9,86,66,45,14.1,2.6,0.0,30.29,30.21,0.0
101,Santorcaz,2024-04-11,69.8,59.6,49.1,51.1,45.4,40.6,75,60,45,15.9,5.4,0.0,30.31,30.21,0.0
102,Santorcaz,2024-04-12,72.7,58.8,42.8,55.9,45.5,36.7,83,62,43,6.9,0.8,0.0,30.34,30.26,0.0
103,Santorcaz,2024-04-13,76.1,62.2,45.1,54.9,44.1,38.3,86,55,27,7.6,0.9,0.0,30.3,30.2,0.0
104,Santorcaz,2024-04-14,74.7,62.3,46.2,55.9,45.1,38.7,80,55,34,8.3,0.9,0.0,30.23,30.1,0.0
105,Santorcaz,2024-04-15,73.0,63.3,52.9,56.7,48.3,41.0,76,59,35,12.5,1.9,0.0,30.13,30.03,0.0
106,Santorcaz,2024-04-16,67.5,57.9,50.0,48.0,40.5,32.0,69,53,37,12.3,3.2,0.0,30.07,29.93,0.0
107,Santorcaz,2024-04-17,62.6,51.3,38.5,42.8,36.5,28.2,83,58,32,14.3,4.7,0.0,29.95,29.88,0.0
108,Santorcaz,2024-04-18,62.8,51.6,37.6,41.7,32.8,23.9,72,50,30,12.3,2.4,0.0,30.01,29.89,0.0
109,Santorcaz,2024-04-19,65.7,50.4,33.4,47.3,37.6,26.2,93,64,31,5.8,0.7,0.0,30.04,29.93,0.0
110,Santorcaz,2024-04-20,70.9,56.2,40.5,48.9,37.1,25.5,85,53,23,6.0,0.8,0.0,29.96,29.83,0.0
111,Santorcaz,2024-04-21,67.8,54.2,37.9,46.9,32.4,21.7,72,45,24,11.0,1.7,0.0,29.92,29.84,0.0
112,Santorcaz,2024-04-22,56.3,45.6,34.9,35.6,26.8,20.5,69,48,29,13.9,4.0,0.0,29.98,29.85,0.0
113,Santorcaz,2024-04-23,52.9,40.8,30.7,37.2,28.6,19.9,78,62,47,16.3,5.3,0.0,29.98,29.89,0.0
114,Santorcaz,2024-04-24,58.8,45.3,28.8,32.9,25.9,7.0,83,50,20,17.2,3.6,0.0,29.98,29.84,0.0
